/homes/bioinfo/bionano/Trib_cast_0002_september_2014/ncbi/pre_Tcas5.2_2.fasta to /homes/bioinfo/bionano/Trib_cast_0002_september_2014/ncbi/Tcas5.2_scaffolds.fasta
scaffold_680	scaffold_seqid618
scaffold_681	scaffold_seqid619
scaffold_682	scaffold_seqid620
scaffold_683	scaffold_seqid621
scaffold_684	scaffold_seqid622
scaffold_685	scaffold_seqid623
scaffold_686	scaffold_seqid624
scaffold_687	scaffold_seqid625
scaffold_688	scaffold_seqid626
scaffold_689	scaffold_seqid627
scaffold_690	scaffold_seqid628
scaffold_691	scaffold_seqid629
scaffold_692	scaffold_seqid630
scaffold_693	scaffold_seqid631
scaffold_694	scaffold_seqid632
scaffold_695	scaffold_seqid633
scaffold_696	scaffold_seqid634
scaffold_697	scaffold_seqid635
scaffold_698	scaffold_seqid636
scaffold_699	scaffold_seqid637
scaffold_700	scaffold_seqid638
scaffold_701	scaffold_seqid639
scaffold_702	scaffold_seqid640
scaffold_703	scaffold_seqid641
scaffold_704	scaffold_seqid642
scaffold_705	scaffold_seqid643
scaffold_706	scaffold_seqid644
scaffold_707	scaffold_seqid645
scaffold_708	scaffold_seqid646
scaffold_709	scaffold_seqid647
scaffold_710	scaffold_seqid648
scaffold_711	scaffold_seqid649
scaffold_712	scaffold_seqid650
scaffold_713	scaffold_seqid651
scaffold_714	scaffold_seqid652
scaffold_715	scaffold_seqid653
scaffold_716	scaffold_seqid654
scaffold_717	scaffold_seqid655
scaffold_718	scaffold_seqid656
scaffold_719	scaffold_seqid657
scaffold_720	scaffold_seqid658
scaffold_721	scaffold_seqid659
scaffold_722	scaffold_seqid660
scaffold_723	scaffold_seqid661
scaffold_724	scaffold_seqid662
scaffold_725	scaffold_seqid663
scaffold_726	scaffold_seqid664
scaffold_727	scaffold_seqid665
scaffold_728	scaffold_seqid666
scaffold_729	scaffold_seqid667
scaffold_730	scaffold_seqid668
scaffold_731	scaffold_seqid669
scaffold_732	scaffold_seqid670
scaffold_733	scaffold_seqid671
scaffold_734	scaffold_seqid672
scaffold_735	scaffold_seqid673
scaffold_736	scaffold_seqid674
scaffold_737	scaffold_seqid675
scaffold_738	scaffold_seqid676
scaffold_739	scaffold_seqid677
scaffold_740	scaffold_seqid678
scaffold_741	scaffold_seqid679
scaffold_742	scaffold_seqid680
scaffold_743	scaffold_seqid681
scaffold_744	scaffold_seqid682
scaffold_745	scaffold_seqid683
scaffold_746	scaffold_seqid684
scaffold_747	scaffold_seqid685
scaffold_748	scaffold_seqid686
scaffold_749	scaffold_seqid687
scaffold_750	scaffold_seqid688
scaffold_751	scaffold_seqid689
scaffold_752	scaffold_seqid690
scaffold_753	scaffold_seqid691
scaffold_754	scaffold_seqid692
scaffold_755	scaffold_seqid693
scaffold_756	scaffold_seqid694
scaffold_757	scaffold_seqid695
scaffold_758	scaffold_seqid696
scaffold_759	scaffold_seqid697
scaffold_760	scaffold_seqid698
scaffold_761	scaffold_seqid699
scaffold_762	scaffold_seqid700
scaffold_763	scaffold_seqid701
scaffold_764	scaffold_seqid702
scaffold_765	scaffold_seqid703
scaffold_766	scaffold_seqid704
scaffold_767	scaffold_seqid705
